item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,source_note,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,item_text_full,n_responses
1,IVDV-01,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Number of roleplaying sessions attended,181,39,27.3,11.7,0,Q: A chaplain wants to know whether the number of tabletop roleplaying sessions a soldier takes part in affects scores on a moral reasoning inventory. What is the independent variable?  ||  A) Score on the moral reasoning inventory  |  B) Number of roleplaying sessions attended [X]  |  C) The soldier's unit  |  D) The length of each session,8
2,IVDV-02,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Score on the moral reasoning inventory,167,38,30.7,7.3,0,Q: A chaplain studies whether the number of tabletop roleplaying sessions a soldier attends affects scores on a moral reasoning inventory. What is the dependent variable?  ||  A) Number of sessions attended  |  B) Score on the moral reasoning inventory [X]  |  C) The type of game played  |  D) Whether a chaplain facilitated the session,6
3,IVDV-03,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Days to process a transcript request,180,36,34.3,1.7,0,Q: A university replaces its student information system and tracks the average number of days to process a transcript request before and after go-live. What is the dependent variable?  ||  A) The system that was replaced  |  B) Whether the new system had been installed  |  C) Days to process a transcript request [X]  |  D) The size of the registrar's office,7
4,IVDV-04,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Whether the request came before or after go-live,182,48,31.0,17.0,0,Q: A university replaces its student information system and tracks the average number of days to process a transcript request before and after go-live. What is the independent variable?  ||  A) Days to process a request  |  B) Whether the request came before or after go-live [X]  |  C) The number of registrar staff  |  D) Student satisfaction with the registrar,5
5,IVDV-05,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"Both are measured variables; support can be treated as a predictor, but no causal claim follows",178,95,64.7,30.3,0,"Q: A program manager finds that clinical staff reporting higher supervisor support also report lower burnout. Neither variable was manipulated. Which description is most defensible?  ||  A) Support is the IV and burnout the DV, so the design supports a causal claim  |  B) Both are measured variables; support can be treated as a predictor, but no causal claim follows [X]  |  C) Burnout is the independent variable because it was measured first  |  D) Neither variable can be analyzed without an experiment",5
6,IVDV-06,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Number of failed plumbing inspections,180,37,37.0,0.0,0,Q: A state code council compares the number of failed plumbing inspections in jurisdictions that adopted a new code against jurisdictions that did not. What is the dependent variable?  ||  A) Whether the jurisdiction adopted the new code  |  B) Number of failed plumbing inspections [X]  |  C) The council that wrote the code  |  D) The population of each jurisdiction,21
7,IVDV-07,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Attendance is the independent variable and agility score is the dependent variable,156,82,34.7,47.3,0,Q: A researcher measures whether attending leadership training (attended / did not attend) changes scores on an organizational agility scale. Which is correct?  ||  A) Attendance is the dependent variable  |  B) Agility score is the independent variable  |  C) Attendance is the independent variable and agility score is the dependent variable [X]  |  D) Neither variable has levels,7
8,IVDV-08,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Academic year,128,13,20.0,-7.0,0,Q: A campus clinic director compares vaccine exemption request rates across three academic years. What is the independent variable?  ||  A) The exemption request rate  |  B) Academic year [X]  |  C) The clinic  |  D) Total student enrollment,8
9,IVDV-09,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Self-selection: students who opt in may differ in motivation before they ever use the portal,167,92,29.7,62.3,0,"Q: Students who use a new advising portal show higher retention, but students chose whether to use it. What is the central threat to the conclusion that the portal works?  ||  A) Retention was measured incorrectly  |  B) Self-selection: students who opt in may differ in motivation before they ever use the portal [X]  |  C) The sample is too small  |  D) Retention is an ordinal variable",3
10,IVDV-10,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Controlled variable,117,19,15.0,4.0,0,"Q: In an experiment, a variable the researcher deliberately holds constant so it cannot explain the outcome is called a:  ||  A) Dependent variable  |  B) Controlled variable [X]  |  C) Moderator  |  D) Criterion variable",8
11,IVDV-11,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,The supervisor's rating of practice,146,35,28.3,6.7,0,Q: A researcher asks whether hours of professional development predict a supervisor's rating of a teacher's practice. What is the criterion variable?  ||  A) Hours of professional development  |  B) The supervisor's rating of practice [X]  |  C) The school district  |  D) The teacher's years of experience,5
12,IVDV-12,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,The study is correlational rather than experimental,92,51,25.0,26.0,0,Q: The terms predictor and criterion are usually preferred over independent and dependent when:  ||  A) The sample is large  |  B) The study is correlational rather than experimental [X]  |  C) The outcome is categorical  |  D) There are more than two groups,6
13,IVDV-13,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Moderator,172,9,11.3,-2.3,0,Q: A researcher suspects the relationship between caseload and burnout is stronger for early-career providers than for late-career providers. Career stage is functioning as a:  ||  A) Dependent variable  |  B) Confound  |  C) Moderator [X]  |  D) Constant,22
14,IVDV-14,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Two,149,3,3.7,-0.7,0,Q: A historian assembles census records to compare household structure across two regions and three decades. How many independent variables are in play?  ||  A) One  |  B) Two [X]  |  C) Three  |  D) Six,7
15,IVDV-15,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,What do chaplains believe about moral formation?,71,48,43.3,4.7,0,Q: Which research question has no clearly identifiable dependent variable?  ||  A) Does mentoring reduce first-year attrition?  |  B) What do chaplains believe about moral formation? [X]  |  C) Does caseload predict burnout score?  |  D) Do inspection failure rates differ by jurisdiction?,24
