response_id,data_source,cohort,student_id,student_track,student_prior_stats,run_id,mode,preset,preset_label,item_position,response_date,response_datetime,week_of_term,day_of_week,hour_of_day,time_block,item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,has_source_line,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,exposure_number,device,chosen_position,chosen_option_text,correct,response_time_sec,item_text_full,response_text
R000001,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,1,2025-08-29,2025-08-29 22:23:00,1,Fri,22,Late night,18,IVDV-18,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,The new curriculum and the existing curriculum,99,46,30.3,15.7,0,1,mobile,2,The new curriculum and the existing curriculum,1,9.5,"Q: In a study of whether a new curriculum improves scores, the levels of the independent variable are:  ||  A) The scores students earn  |  B) The new curriculum and the existing curriculum [X]  |  C) The number of students in each group  |  D) The pre-test and the gain score",Chose B) The new curriculum and the existing curriculum - CORRECT
R000002,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,2,2025-08-29,2025-08-29 22:23:11,1,Fri,22,Late night,26,NOIR-06,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,Ordinal,87,7,6.7,0.3,0,1,mobile,4,Ratio,0,3.6,"Q: Military rank, ordered from Private through Sergeant Major, is measured at which level?  ||  A) Nominal  |  B) Ordinal [X]  |  C) Interval  |  D) Ratio",Chose D) Ratio - INCORRECT (key: B) Ordinal)
R000003,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,3,2025-08-29,2025-08-29 22:23:15,1,Fri,22,Late night,76,RELY-02,Reliability,authored,Written to the LD 810 lecture slides,4,Reliability and Validity,4,,,exam1,lab1,,0,,,,,4,2,Reliable but not valid,87,22,22.0,0.0,0,1,mobile,4,Neither reliable nor valid,0,34.8,Q: A bathroom scale that reads twelve pounds heavy every single time is best described as:  ||  A) Reliable and valid  |  B) Reliable but not valid [X]  |  C) Valid but not reliable  |  D) Neither reliable nor valid,Chose D) Neither reliable nor valid - INCORRECT (key: B) Reliable but not valid)
R000004,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,4,2025-08-29,2025-08-29 22:23:52,1,Fri,22,Late night,607,NEWS-18,Reliability,news,"Current events — real reported figures, with the source",4,Reliability and Validity,4,,,exam1,lab1,,0,Pew Research Center,"Jun 22–28, 2026",2026-09-11,https://www.pewresearch.org/short-reads/2026/08/18/young-adults-in-the-us-are-increasingly-wary-of-ai-concerned-it-will-take-jobs/,4,1,Panel conditioning — repeatedly answering the same questions can itself change how people respond,147,97,35.0,62.0,0,1,mobile,1,Panel conditioning — repeatedly answering the same questions can itself change how people respond,1,16.4,"Q: Pew's figures come from the American Trends Panel, where the same people are surveyed repeatedly. What measurement risk does that design introduce?  ||  A) Panel conditioning — repeatedly answering the same questions can itself change how people respond [X]  |  B) Nothing; panels are immune to measurement problems  |  C) The sample cannot be weighted  |  D) Percentages become ordinal",Chose A) Panel conditioning — repeatedly answering the same questions can itself change how people respond - CORRECT
R000005,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,5,2025-08-29,2025-08-29 22:24:11,1,Fri,22,Late night,2,IVDV-02,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,Score on the moral reasoning inventory,167,38,30.7,7.3,0,1,mobile,2,Score on the moral reasoning inventory,1,27.6,Q: A chaplain studies whether the number of tabletop roleplaying sessions a soldier attends affects scores on a moral reasoning inventory. What is the dependent variable?  ||  A) Number of sessions attended  |  B) Score on the moral reasoning inventory [X]  |  C) The type of game played  |  D) Whether a chaplain facilitated the session,Chose B) Score on the moral reasoning inventory - CORRECT
R000006,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,6,2025-08-29,2025-08-29 22:24:40,1,Fri,22,Late night,571,SKC-12,Chart choice,theme,Themed sets,2,Variables and the Shape of Data,2,skc,Sporting KC,exam1,lab1,,0,,,,,4,1,Line graph,112,10,22.7,-12.7,1,1,mobile,1,Line graph,1,28.4,"Q: To show how the club's points total changed across every season since its first in 1996, the right display is a:  ||  A) Line graph [X]  |  B) Pie chart  |  C) Histogram of one season  |  D) Scatterplot of goals against assists",Chose A) Line graph - CORRECT
R000007,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,7,2025-08-29,2025-08-29 22:25:10,1,Fri,22,Late night,461,AI-12,Chart choice,theme,Themed sets,2,Variables and the Shape of Data,2,ai,All things AI,exam1,lab1,,0,,,,,4,1,Bar chart,89,9,10.0,-1.0,0,1,mobile,1,Bar chart,1,8.1,"Q: To compare hallucination rates across five models on one test, the clearest display is a:  ||  A) Bar chart [X]  |  B) Line graph  |  C) Scatterplot  |  D) Pie chart",Chose A) Bar chart - CORRECT
R000008,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,8,2025-08-29,2025-08-29 22:25:19,1,Fri,22,Late night,93,VLDY-05,Validity,authored,Written to the LD 810 lecture slides,4,Reliability and Validity,4,,,exam1,lab1,,0,,,,,4,2,Predictive validity,103,19,17.3,1.7,0,1,mobile,2,Predictive validity,1,6.9,Q: An admissions test is defended on the grounds that scores forecast first-year GPA. This is evidence of:  ||  A) Content validity  |  B) Predictive validity [X]  |  C) Face validity  |  D) Inter-rater reliability,Chose B) Predictive validity - CORRECT
R000009,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,9,2025-08-29,2025-08-29 22:25:28,1,Fri,22,Late night,393,BRO-13,Reliability,theme,Themed sets,4,Reliability and Validity,4,broncos,Denver Broncos,exam1,lab1,,0,,,,,4,2,Inter-rater reliability,130,23,19.3,3.7,1,1,mobile,2,Inter-rater reliability,1,15.1,Q: Two scouts independently grade the same 50 draft prospects on a 1–10 scale and their grades correlate at .91. This is evidence of:  ||  A) Test-retest reliability  |  B) Inter-rater reliability [X]  |  C) Content validity  |  D) Predictive validity,Chose B) Inter-rater reliability - CORRECT
R000010,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,10,2025-08-29,2025-08-29 22:25:43,1,Fri,22,Late night,333,P03-26,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,1,,,,,4,1,"7, 10, 11, 15, 19",67,17,16.7,0.3,0,1,mobile,1,"7, 10, 11, 15, 19",1,8.8,"Q: Which of the following sets of scores has the greatest variability?  ||  A) 7, 10, 11, 15, 19 [X]  |  B) 7, 7, 8, 8, 10, 11  |  C) 7, 7, 7, 7, 7, 7  |  D) 6, 6, 7, 7, 7, 7","Chose A) 7, 10, 11, 15, 19 - CORRECT"
